variable_name,section_name,year_key,description,count
Average monthly gross wages and salaries,"Poland, voivodeships",2010,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2011,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2011,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2011,quarter - quarterly data - the 4th quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2012,quarter - quarterly data - the 4th quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2013,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2013,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2013,quarter - quarterly data - the 4th quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2014,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2014,quarter - quarterly data - the 4th quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2015,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2015,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2016,quarter - quarterly data - the 4th quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2017,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2017,quarter - quarterly data - the 4th quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2018,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2018,quarter - quarterly data - the 4th quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2018,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2020,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2020,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2020,quarter - quarterly data - the 4th quarter,918
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - October,6936
Average monthly gross wages and salaries,"Poland, voivodeships",2010,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2010,quarter - quarterly data - the 4th quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2012,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2012,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2014,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2015,quarter - quarterly data - the 4th quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2016,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2016,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2017,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2019,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2019,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2019,quarter - quarterly data - the 4th quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2021,quarter - quarterly data - the 3rd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2021,quarter - quarterly data - the 2nd quarter,918
Average monthly gross wages and salaries,"Poland, voivodeships",2021,quarter - quarterly data - the 4th quarter,918
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2010,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - April,6936
