variable_name,year_key,description,avg
Average monthly gross wages and salaries,2010,quarter - quarterly data - the 2nd quarter,1057.9050980392144
Average monthly gross wages and salaries,2010,quarter - quarterly data - the 3rd quarter,1070.9725490196063
Average monthly gross wages and salaries,2011,quarter - quarterly data - the 2nd quarter,1111.4399999999991
Average monthly gross wages and salaries,2011,quarter - quarterly data - the 4th quarter,1179.2227450980392
Average monthly gross wages and salaries,2013,quarter - quarterly data - the 3rd quarter,1200.971764705882
Average monthly gross wages and salaries,2013,quarter - quarterly data - the 4th quarter,1250.6501960784317
Average monthly gross wages and salaries,2014,quarter - quarterly data - the 2nd quarter,1220.1523529411766
Average monthly gross wages and salaries,2014,quarter - quarterly data - the 4th quarter,1288.8313725490198
Average monthly gross wages and salaries,2015,quarter - quarterly data - the 2nd quarter,1254.0568627450982
Average monthly gross wages and salaries,2015,quarter - quarterly data - the 3rd quarter,1277.2356862745091
Average monthly gross wages and salaries,2016,quarter - quarterly data - the 2nd quarter,1305.9327450980395
Average monthly gross wages and salaries,2018,quarter - quarterly data - the 2nd quarter,1458.361764705884
Average monthly gross wages and salaries,2018,quarter - quarterly data - the 4th quarter,1568.4372549019613
Average monthly gross wages and salaries,2019,quarter - quarterly data - the 2nd quarter,1555.665294117647
Average monthly gross wages and salaries,2019,quarter - quarterly data - the 4th quarter,1674.8247058823501
Average monthly gross wages and salaries,2020,quarter - quarterly data - the 4th quarter,1785.0370588235298
Average monthly gross wages and salaries,2021,quarter - quarterly data - the 3rd quarter,1840.1764705882358
Average monthly gross wages and salaries,2021,quarter - quarterly data - the 2nd quarter,1784.4858823529407
Average monthly gross wages and salaries,2010,quarter - quarterly data - the 4th quarter,1134.9103921568642
Average monthly gross wages and salaries,2011,quarter - quarterly data - the 3rd quarter,1133.4145098039212
Average monthly gross wages and salaries,2012,quarter - quarterly data - the 2nd quarter,1181.412352941176
Average monthly gross wages and salaries,2012,quarter - quarterly data - the 4th quarter,1210.821960784312
Average monthly gross wages and salaries,2012,quarter - quarterly data - the 3rd quarter,1157.7515686274505
Average monthly gross wages and salaries,2013,quarter - quarterly data - the 2nd quarter,1177.8827450980395
Average monthly gross wages and salaries,2014,quarter - quarterly data - the 3rd quarter,1238.3021568627448
Average monthly gross wages and salaries,2015,quarter - quarterly data - the 4th quarter,1336.350784313725
Average monthly gross wages and salaries,2016,quarter - quarterly data - the 4th quarter,1381.2421568627449
Average monthly gross wages and salaries,2016,quarter - quarterly data - the 3rd quarter,1325.929411764707
Average monthly gross wages and salaries,2017,quarter - quarterly data - the 2nd quarter,1371.5962745098038
Average monthly gross wages and salaries,2017,quarter - quarterly data - the 3rd quarter,1389.8729411764705
Average monthly gross wages and salaries,2017,quarter - quarterly data - the 4th quarter,1474.174117647059
Average monthly gross wages and salaries,2019,quarter - quarterly data - the 3rd quarter,1600.65843137255
Average monthly gross wages and salaries,2018,quarter - quarterly data - the 3rd quarter,1485.5390196078436
Average monthly gross wages and salaries,2020,quarter - quarterly data - the 2nd quarter,1612.5074509803928
Average monthly gross wages and salaries,2020,quarter - quarterly data - the 3rd quarter,1691.0478431372546
Average monthly gross wages and salaries,2021,quarter - quarterly data - the 4th quarter,1954.45705882353
